date,interest
2010-03,36
2010-04,31
2010-05,32
2010-06,31
2010-07,29
2010-08,33
2010-09,30
2010-10,34
2010-11,36
2010-12,35
2011-01,34
2011-02,35
2011-03,37
2011-04,37
2011-05,40
2011-06,36
2011-07,29
2011-08,32
2011-09,36
2011-10,35
2011-11,36
2011-12,29
2012-01,34
2012-02,38
2012-03,38
2012-04,40
2012-05,38
2012-06,35
2012-07,36
2012-08,38
2012-09,38
2012-10,39
2012-11,42
2012-12,35
2013-01,39
2013-02,45
2013-03,45
2013-04,44
2013-05,46
2013-06,43
2013-07,45
2013-08,41
2013-09,45
2013-10,53
2013-11,49
2013-12,42
2014-01,50
2014-02,52
2014-03,53
2014-04,54
2014-05,53
2014-06,52
2014-07,49
2014-08,46
2014-09,54
2014-10,51
2014-11,54
2014-12,49
2015-01,47
2015-02,59
2015-03,60
2015-04,56
2015-05,55
2015-06,55
2015-07,53
2015-08,53
2015-09,60
2015-10,63
2015-11,58
2015-12,55
2016-01,51
2016-02,63
2016-03,62
2016-04,68
2016-05,63
2016-06,61
2016-07,52
2016-08,54
2016-09,63
2016-10,66
2016-11,69
2016-12,60
2017-01,68
2017-02,80
2017-03,83
2017-04,80
2017-05,73
2017-06,67
2017-07,65
2017-08,66
2017-09,73
2017-10,77
2017-11,79
2017-12,61
2018-01,73
2018-02,77
2018-03,75
2018-04,82
2018-05,68
2018-06,70
2018-07,71
2018-08,76
2018-09,81
2018-10,84
2018-11,80
2018-12,71
2019-01,82
2019-02,95
2019-03,90
2019-04,88
2019-05,88
2019-06,88
2019-07,86
2019-08,88
2019-09,100
2019-10,99
2019-11,98
2019-12,82
2020-01,89
2020-02,98
2020-03,100
